Year,Cyclist,Country,Distance,Stages
1903,Maurice Garin,France,2428,3
1904,Henri Cornet,France,2428,1
1905,Louis Trousselier,France,2994,5
1906,René Pottier,France,4637,5
1907,Lucien Petit-Breton,France,4488,2
1908,Lucien Petit-Breton,France,4497,5
1909,François Faber,Luxembourg,4498,6
1910,Octave Lapize,France,4734,4
1911,Gustave Garrigou,France,5343,2
1912,Odile Defraye,Belgium,5289,3
1913,Philippe Thys,Belgium,5287,1
1914,Philippe Thys,Belgium,5380,1
1919,Firmin Lambot,Belgium,5560,1
1920,Philippe Thys,Belgium,5503,4
1921,Léon Scieur,Belgium,5485,2
1922,Firmin Lambot,Belgium,5375,0
1923,Henri Pélissier,France,5386,3
1924,Ottavio Bottecchia,Italy,5425,4
1925,Ottavio Bottecchia,Italy,5440,4
1926,Lucien Buysse,Belgium,5745,2
1927,Nicolas Frantz,Luxembourg,5398,3
1928,Nicolas Frantz,Luxembourg,5476,5
1929,Maurice De Waele,Belgium,5286,1
1930,André Leducq,France,4822,2
1931,Antonin Magne,France,5091,1
1932,André Leducq,France,4479,6
1933,Georges Speicher,France,4395,3
1934,Antonin Magne,France,4470,3
1935,Romain Maes,Belgium,4338,3
1936,Sylvère Maes,Belgium,4442,4
1937,Roger Lapébie,France,4415,3
1938,Gino Bartali,Italy,4694,2
1939,Sylvère Maes,Belgium,4224,2
1947,Jean Robic,France,4642,3
1948,Gino Bartali,Italy,4922,7
1949,Fausto Coppi,Italy,4808,3
1950,Ferdinand Kübler,Switzerland,4773,3
1951,Hugo Koblet,Switzerland,4690,5
1952,Fausto Coppi,Italy,4898,5
1953,Louison Bobet,France,4476,2
1954,Louison Bobet,France,4656,3
1955,Louison Bobet,France,4495,2
1956,Roger Walkowiak,France,4498,0
1957,Jacques Anquetil,France,4669,4
1958,Charly Gaul,Luxembourg,4319,4
1959,Federico Bahamontes,Spain,4358,1
1960,Gastone Nencini,Italy,4173,0
1961,Jacques Anquetil,France,4397,2
1962,Jacques Anquetil,France,4274,2
1963,Jacques Anquetil,France,4138,4
1964,Jacques Anquetil,France,4504,4
1965,Felice Gimondi,Italy,4188,3
1966,Lucien Aimar,France,4329,0
1967,Roger Pingeon,France,4779,1
1968,Jan Janssen,Netherlands,4492,2
1969,Eddy Merckx,Belgium,4117,6
1970,Eddy Merckx,Belgium,4254,8
1971,Eddy Merckx,Belgium,3608,4
1972,Eddy Merckx,Belgium,3846,6
1973,Luis Ocaña,Spain,4090,6
1974,Eddy Merckx,Belgium,4098,8
1975,Bernard Thévenet,France,4000,2
1976,Lucien Van Impe,Belgium,4017,1
1977,Bernard Thévenet,France,4096,1
1978,Bernard Hinault,France,3908,3
1979,Bernard Hinault,France,3765,7
1980,Joop Zoetemelk,Netherlands,3842,2
1981,Bernard Hinault,France,3753,5
1982,Bernard Hinault,France,3507,4
1983,Laurent Fignon,France,3809,1
1984,Laurent Fignon,France,4021,5
1985,Bernard Hinault,France,4109,2
1986,Greg LeMond,United States,4094,1
1987,Stephen Roche,Ireland,4231,1
1988,Pedro Delgado,Spain,3286,1
1989,Greg LeMond,United States,3285,3
1990,Greg LeMond,United States,3504,0
1991,Miguel Indurain,Spain,3914,2
1992,Miguel Indurain,Spain,3983,3
1993,Miguel Indurain,Spain,3714,2
1994,Miguel Indurain,Spain,3978,1
1995,Miguel Indurain,Spain,3635,2
1996,Bjarne Riis,Denmark,3765,2
1997,Jan Ullrich,Germany,3950,2
1998,Marco Pantani,Italy,3875,2
2006,Óscar Pereiro,Spain,3657,0
2007,Alberto Contador,Spain,3570,1
2008,Carlos Sastre,Spain,3559,1
2009,Alberto Contador,Spain,3459,2
2010,Andy Schleck,Luxembourg,3642,2
2011,Cadel Evans,Australia,3430,1
2012,Bradley Wiggins,Great Britain,3496,2
2013,Chris Froome,Great Britain,3404,3
2014,Vincenzo Nibali,Italy,3660,4
2015,Chris Froome,Great Britain,3360,1
2016,Chris Froome,Great Britain,3529,2
2017,Chris Froome,Great Britain,3540,0
2018,Geraint Thomas,Great Britain,3349,2
2019,Egan Bernal,Colombia,3366,0
2020,Tadej Pogačar,Slovenia,3484,3
2021,Tadej Pogačar,Slovenia,3414,3
2022,Jonas Vingegaard,Denmark,3328,2
